query	config	requests	first	last	termination	diefficiency
interactive short 1.3	timeout 5000 void simple	225	9.571	9.571	9.306	4.785
interactive short 1.3	timeout 5000 void	225	10.232	10.232	11.106	5.116
interactive short 1.3	timeout 5000	225	10.921	10.921	11.481	5.46
interactive short 1.3	timeout 10000 void simple	225	10.21	10.21	9.679	5.105
interactive short 1.3	timeout 10000 void	225	11.37	11.37	11.305	5.685
interactive short 1.3	timeout 10000	225	12.045	12.045	9.47	6.022
interactive short 1.3	timeout 20000 void simple	225	11.243	11.243	9.798	5.622
interactive short 1.3	timeout 20000 void	225	11.068	11.068	8.784	5.534
interactive short 1.3	timeout 20000	225	10.613	10.613	11.399	5.306
interactive discover 8.2	baseline	217	11.845	15.842	15.553	29.367
interactive discover 8.2	cardinality once void simple	392	20.372	40.143	38.506	134.974
interactive discover 8.2	cardinality once void	462	14.895	23.414	23.829	60.357
interactive discover 8.2	cardinality once	464	12.818	19.356	22.049	49.311
interactive discover 8.2	cardinality unlimited void simple	273	18.911	36.899	38.687	123.43
interactive discover 8.2	cardinality unlimited void	318	14.685	23.571	23.178	64.229
interactive discover 8.2	cardinality unlimited	280	13.405	18.106	18.027	32.844
interactive discover 8.2	overhead simple	0			0	
interactive discover 8.2	overhead	347	13.254	20.636	21.112	44.949
interactive discover 8.2	timeout 100 void simple	0			0	
interactive discover 8.2	timeout 100 void	362	13.773	22.994	22.038	54.89
interactive discover 8.2	timeout 100	275	11.616	17.428	17.895	34.672
interactive discover 8.2	timeout 1000 void simple	561	29.173	49.31	48.434	136.067
interactive discover 8.2	timeout 1000 void	455	15.936	23.885	24.951	56.537
interactive discover 8.2	timeout 1000	449	16.398	23.66	19.564	50.673
interactive discover 8.2	timeout 2000 void simple	684	30.576	51.263	51.023	142.072
interactive discover 8.2	timeout 2000 void	611	20.144	28.117	28.693	57.341
interactive discover 8.2	timeout 2000	712	18.791	23.521	24.739	36.092
interactive discover 8.2	timeout 5000 void simple	797	36.001	55.727	57.376	139.671
interactive discover 8.2	timeout 5000 void	664	17.849	36.133	36.752	92.893
interactive discover 8.2	timeout 5000	781	11.225	32.093	32.631	75.301
interactive discover 8.2	timeout 10000 void simple	0			0	
interactive discover 8.2	timeout 10000 void	689	11.881	34.732	32.635	147.157
interactive discover 8.2	timeout 10000	204	12.311	16.112	14.468	27.726
interactive discover 8.2	timeout 20000 void simple	0			0	
interactive discover 8.2	timeout 20000 void	284	13.195	19.181	20.06	40.059
interactive discover 8.2	timeout 20000	222	11.728	16.571	16.116	29.352
interactive short 1.2	baseline	18	6.926	6.926	6.96	3.463
interactive short 1.2	cardinality once void simple	0			0	
interactive short 1.2	cardinality once void	0			0	
interactive short 1.2	cardinality once	18	6.863	6.863	6.472	3.432
interactive short 1.2	cardinality unlimited void simple	0			0	
interactive short 1.2	cardinality unlimited void	0			0	
interactive short 1.2	cardinality unlimited	18	7.246	7.246	7.022	3.623
interactive short 1.2	overhead simple	18	6.857	6.857	7.133	3.429
interactive short 1.2	overhead	18	6.966	6.966	6.392	3.483
interactive short 1.2	timeout 100 void simple	0			0	
interactive short 1.2	timeout 100 void	0			0	
interactive short 1.2	timeout 100	0			0	
interactive short 1.2	timeout 1000 void simple	18	7.023	7.023	6.727	3.511
interactive short 1.2	timeout 1000 void	18	7.184	7.184	6.963	3.592
interactive short 1.2	timeout 1000	18	6.91	6.91	7.256	3.455
interactive short 1.2	timeout 2000 void simple	18	6.732	6.732	6.751	3.366
interactive short 1.2	timeout 2000 void	18	7.028	7.028	6.814	3.514
interactive short 1.2	timeout 2000	18	6.9	6.9	7.244	3.45
interactive short 1.2	timeout 5000 void simple	18	7.04	7.04	6.929	3.52
interactive short 1.2	timeout 5000 void	18	6.912	6.912	7.289	3.456
interactive short 1.2	timeout 5000	18	6.716	6.716	6.928	3.358
interactive short 1.2	timeout 10000 void simple	18	6.938	6.938	6.843	3.469
interactive short 1.2	timeout 10000 void	18	7.033	7.033	6.918	3.517
interactive short 1.2	timeout 10000	18	6.688	6.688	6.985	3.344
interactive short 1.2	timeout 20000 void simple	18	7.159	7.159	7.253	3.579
interactive short 1.2	timeout 20000 void	18	6.697	6.697	6.638	3.349
interactive short 1.2	timeout 20000	18	6.733	6.733	6.647	3.366
interactive short 1.1	baseline	21	6.953	6.953	7.084	3.477
interactive short 1.1	cardinality once void simple	0			0	
interactive short 1.1	cardinality once void	0			0	
interactive short 1.1	cardinality once	21	8.006	8.006	6.878	4.003
interactive short 1.1	cardinality unlimited void simple	0			0	
interactive short 1.1	cardinality unlimited void	0			0	
interactive short 1.1	cardinality unlimited	21	7.336	7.336	7.336	3.668
interactive short 1.1	overhead simple	21	7.47	7.47	8.581	3.735
interactive short 1.1	overhead	21	7.161	7.161	7.028	3.58
interactive short 1.1	timeout 100 void simple	0			0	
interactive short 1.1	timeout 100 void	0			0	
interactive short 1.1	timeout 100	0			0	
interactive short 1.1	timeout 1000 void simple	21	7.13	7.13	7.011	3.565
interactive short 1.1	timeout 1000 void	20	7.901	7.901	7.494	3.95
interactive short 1.1	timeout 1000	21	7.633	7.633	7.094	3.817
interactive short 1.1	timeout 2000 void simple	21	6.739	6.739	7.157	3.369
interactive short 1.1	timeout 2000 void	21	7.767	7.767	8.245	3.884
interactive short 1.1	timeout 2000	21	6.748	6.748	6.886	3.374
interactive short 1.1	timeout 5000 void simple	21	6.95	6.95	7.072	3.475
interactive short 1.1	timeout 5000 void	21	7.291	7.291	7.83	3.646
interactive short 1.1	timeout 5000	21	7.398	7.398	8.452	3.699
interactive short 1.1	timeout 10000 void simple	21	7.283	7.283	7.781	3.642
interactive short 1.1	timeout 10000 void	21	7.102	7.102	8.226	3.551
interactive short 1.1	timeout 10000	21	7.15	7.15	7.918	3.575
interactive short 1.1	timeout 20000 void simple	21	7.293	7.293	7.692	3.647
interactive short 1.1	timeout 20000 void	21	6.915	6.915	6.938	3.458
interactive short 1.1	timeout 20000	21	7.095	7.095	7.913	3.547
interactive short 1.0	baseline	129	13.194	13.194	11.131	6.597
interactive short 1.0	cardinality once void simple	0			0	
interactive short 1.0	cardinality once void	10	6.895	6.895	6.601	3.447
interactive short 1.0	cardinality once	129	13.487	13.487	11.588	6.744
interactive short 1.0	cardinality unlimited void simple	10	7.015	7.015	7.092	3.507
interactive short 1.0	cardinality unlimited void	7	6.775	6.775	7.143	3.388
interactive short 1.0	cardinality unlimited	129	11.538	11.538	9.301	5.769
interactive short 1.0	overhead simple	129	14.281	14.281	21.524	7.141
interactive short 1.0	overhead	129	12.746	12.746	9.739	6.373
interactive short 1.0	timeout 100 void simple	0			0	
interactive short 1.0	timeout 100 void	0			0	
interactive short 1.0	timeout 100	7	6.727	6.727	6.899	3.364
interactive short 1.0	timeout 1000 void simple	59	7.616	7.616	8.09	3.808
interactive short 1.0	timeout 1000 void	51	7.503	7.503	7.762	3.752
interactive short 1.0	timeout 1000	47	7.459	7.459	7.273	3.729
interactive short 1.0	timeout 2000 void simple	97	8.304	8.304	8.82	4.152
interactive short 1.0	timeout 2000 void	115	8.483	8.483	8.331	4.242
interactive short 1.0	timeout 2000	103	8.41	8.41	9.044	4.205
interactive short 1.0	timeout 5000 void simple	129	10.381	10.381	9.736	5.191
interactive short 1.0	timeout 5000 void	128	9.323	9.323	11.588	4.662
interactive short 1.0	timeout 5000	129	10.961	10.961	8.468	5.481
interactive short 1.0	timeout 10000 void simple	129	10.481	10.481	11.047	5.24
interactive short 1.0	timeout 10000 void	129	12.053	12.053	11.306	6.027
interactive short 1.0	timeout 10000	129	10.026	10.026	9.008	5.013
interactive short 1.0	timeout 20000 void simple	129	14.163	14.163	10.865	7.082
interactive short 1.0	timeout 20000 void	129	13.933	13.933	14.379	6.966
interactive short 1.0	timeout 20000	129	10.374	10.374	10.966	5.187
interactive discover 8.4	baseline	333	13.219	15.502	17.028	16.558
interactive discover 8.4	cardinality once void simple	0			0	
interactive discover 8.4	cardinality once void	0			0	
interactive discover 8.4	cardinality once	521	18.492	23.592	22.24	37.879
interactive discover 8.4	cardinality unlimited void simple	0			0	
interactive discover 8.4	cardinality unlimited void	0			0	
interactive discover 8.4	cardinality unlimited	521	22.398	27.951	25.603	43.389
interactive discover 8.4	overhead simple	0			0	
interactive discover 8.4	overhead	0			0	
interactive discover 8.4	timeout 100 void simple	0			0	
interactive discover 8.4	timeout 100 void	0			0	
interactive discover 8.4	timeout 100	378	10.885	17.767	19.044	26.721
interactive discover 8.4	timeout 1000 void simple	0			0	
interactive discover 8.4	timeout 1000 void	0			0	
interactive discover 8.4	timeout 1000	626	20.93	27.315	25.647	47.609
interactive discover 8.4	timeout 2000 void simple	0			0	
interactive discover 8.4	timeout 2000 void	0			0	
interactive discover 8.4	timeout 2000	768	18.147	29.957	30.88	51.371
interactive discover 8.4	timeout 5000 void simple	0			0	
interactive discover 8.4	timeout 5000 void	0			0	
interactive discover 8.4	timeout 5000	948	15.997	36.885	35.736	82.247
interactive discover 8.4	timeout 10000 void simple	0			0	
interactive discover 8.4	timeout 10000 void	0			0	
interactive discover 8.4	timeout 10000	343	13.383	26.101	16.498	47.212
interactive discover 8.4	timeout 20000 void simple	0			0	
interactive discover 8.4	timeout 20000 void	0			0	
interactive discover 8.4	timeout 20000	360	13.34	15.793	16.186	17.371
interactive discover 8.3	baseline	428	12.546	16.136	15.8	19.315
interactive discover 8.3	cardinality once void simple	0			0	
interactive discover 8.3	cardinality once void	0			0	
interactive discover 8.3	cardinality once	413	17.255	23.501	22.843	40.385
interactive discover 8.3	cardinality unlimited void simple	0			0	
interactive discover 8.3	cardinality unlimited void	0			0	
interactive discover 8.3	cardinality unlimited	418	16.842	22.212	20.756	34.047
interactive discover 8.3	overhead simple	0			0	
interactive discover 8.3	overhead	0			0	
interactive discover 8.3	timeout 100 void simple	0			0	
interactive discover 8.3	timeout 100 void	0			0	
interactive discover 8.3	timeout 100	416	15.141	18.465	15.348	23.133
interactive discover 8.3	timeout 1000 void simple	0			0	
interactive discover 8.3	timeout 1000 void	0			0	
interactive discover 8.3	timeout 1000	391	17.913	22.393	21.795	35.703
interactive discover 8.3	timeout 2000 void simple	0			0	
interactive discover 8.3	timeout 2000 void	0			0	
interactive discover 8.3	timeout 2000	423	13.824	22.145	22.503	34.701
interactive discover 8.3	timeout 5000 void simple	0			0	
interactive discover 8.3	timeout 5000 void	0			0	
interactive discover 8.3	timeout 5000	1056	23.265	36.346	36.277	59.801
interactive discover 8.3	timeout 10000 void simple	0			0	
interactive discover 8.3	timeout 10000 void	0			0	
interactive discover 8.3	timeout 10000	458	12.296	15.065	16.422	15.165
interactive discover 8.3	timeout 20000 void simple	0			0	
interactive discover 8.3	timeout 20000 void	0			0	
interactive discover 8.3	timeout 20000	420	11.068	15.738	14.897	18.131
interactive short 3.1	baseline	0			0	
interactive short 3.1	cardinality once void simple	0			0	
interactive short 3.1	cardinality once void	0			0	
interactive short 3.1	cardinality once	0			0	
interactive short 3.1	cardinality unlimited void simple	0			0	
interactive short 3.1	cardinality unlimited void	0			0	
interactive short 3.1	cardinality unlimited	0			0	
interactive short 3.1	overhead simple	0			0	
interactive short 3.1	overhead	0			0	
interactive short 3.1	timeout 100 void simple	0			0	
interactive short 3.1	timeout 100 void	0			0	
interactive short 3.1	timeout 100	0			0	
interactive short 3.1	timeout 1000 void simple	0			0	
interactive short 3.1	timeout 1000 void	0			0	
interactive short 3.1	timeout 1000	0			0	
interactive short 3.1	timeout 2000 void simple	0			0	
interactive short 3.1	timeout 2000 void	0			0	
interactive short 3.1	timeout 2000	0			0	
interactive short 3.1	timeout 5000 void simple	0			0	
interactive short 3.1	timeout 5000 void	0			0	
interactive short 3.1	timeout 5000	0			0	
interactive short 3.1	timeout 10000 void simple	329	16.547	16.547	16.776	8.274
interactive short 3.1	timeout 10000 void	365	16.589	16.589	16.935	8.294
interactive short 3.1	timeout 10000	303	16.764	16.764	17.278	8.382
interactive short 3.1	timeout 20000 void simple	338	26.849	26.849	27.982	13.425
interactive short 3.1	timeout 20000 void	488	26.846	26.846	27.165	13.423
interactive short 3.1	timeout 20000	382	26.816	26.816	28.446	13.408
interactive short 2.3	baseline	0			0	
interactive short 2.3	cardinality once void simple	0			0	
interactive short 2.3	cardinality once void	0			0	
interactive short 2.3	cardinality once	0			0	
interactive short 2.3	cardinality unlimited void simple	0			0	
interactive short 2.3	cardinality unlimited void	0			0	
interactive short 2.3	cardinality unlimited	0			0	
interactive short 2.3	overhead simple	0			0	
interactive short 2.3	overhead	0			0	
interactive short 2.3	timeout 100 void simple	0			0	
interactive short 2.3	timeout 100 void	0			0	
interactive short 2.3	timeout 100	0			0	
interactive short 2.3	timeout 1000 void simple	0			0	
interactive short 2.3	timeout 1000 void	0			0	
interactive short 2.3	timeout 1000	0			0	
interactive short 2.3	timeout 2000 void simple	0			0	
interactive short 2.3	timeout 2000 void	0			0	
interactive short 2.3	timeout 2000	0			0	
interactive short 2.3	timeout 5000 void simple	0			0	
interactive short 2.3	timeout 5000 void	0			0	
interactive short 2.3	timeout 5000	0			0	
interactive short 2.3	timeout 10000 void simple	0			0	
interactive short 2.3	timeout 10000 void	0			0	
interactive short 2.3	timeout 10000	0			0	
interactive short 2.3	timeout 20000 void simple	0			0	
interactive short 2.3	timeout 20000 void	1911	48.49	48.49	60.159	24.245
interactive short 2.3	timeout 20000	0			0	
interactive short 3.0	baseline	0			0	
interactive short 3.0	cardinality once void simple	0			0	
interactive short 3.0	cardinality once void	0			0	
interactive short 3.0	cardinality once	0			0	
interactive short 3.0	cardinality unlimited void simple	0			0	
interactive short 3.0	cardinality unlimited void	0			0	
interactive short 3.0	cardinality unlimited	0			0	
interactive short 3.0	overhead simple	0			0	
interactive short 3.0	overhead	0			0	
interactive short 3.0	timeout 100 void simple	0			0	
interactive short 3.0	timeout 100 void	0			0	
interactive short 3.0	timeout 100	0			0	
interactive short 3.0	timeout 1000 void simple	0			0	
interactive short 3.0	timeout 1000 void	0			0	
interactive short 3.0	timeout 1000	0			0	
interactive short 3.0	timeout 2000 void simple	0			0	
interactive short 3.0	timeout 2000 void	0			0	
interactive short 3.0	timeout 2000	0			0	
interactive short 3.0	timeout 5000 void simple	336	11.97	11.97	12.622	5.985
interactive short 3.0	timeout 5000 void	0			0	
interactive short 3.0	timeout 5000	0			0	
interactive short 3.0	timeout 10000 void simple	409	16.781	16.781	17.366	8.39
interactive short 3.0	timeout 10000 void	466	16.89	16.89	16.69	8.445
interactive short 3.0	timeout 10000	422	16.823	16.823	16.668	8.412
interactive short 3.0	timeout 20000 void simple	560	26.78	26.78	27.068	13.39
interactive short 3.0	timeout 20000 void	581	26.455	26.455	26.971	13.227
interactive short 3.0	timeout 20000	525	26.99	26.99	27.651	13.495
interactive short 2.4	baseline	0			0	
interactive short 2.4	cardinality once void simple	0			0	
interactive short 2.4	cardinality once void	0			0	
interactive short 2.4	cardinality once	0			0	
interactive short 2.4	cardinality unlimited void simple	0			0	
interactive short 2.4	cardinality unlimited void	0			0	
interactive short 2.4	cardinality unlimited	0			0	
interactive short 2.4	overhead simple	0			0	
interactive short 2.4	overhead	0			0	
interactive short 2.4	timeout 100 void simple	0			0	
interactive short 2.4	timeout 100 void	0			0	
interactive short 2.4	timeout 100	0			0	
interactive short 2.4	timeout 1000 void simple	0			0	
interactive short 2.4	timeout 1000 void	0			0	
interactive short 2.4	timeout 1000	0			0	
interactive short 2.4	timeout 2000 void simple	0			0	
interactive short 2.4	timeout 2000 void	0			0	
interactive short 2.4	timeout 2000	0			0	
interactive short 2.4	timeout 5000 void simple	0			0	
interactive short 2.4	timeout 5000 void	0			0	
interactive short 2.4	timeout 5000	0			0	
interactive short 2.4	timeout 10000 void simple	0			0	
interactive short 2.4	timeout 10000 void	0			0	
interactive short 2.4	timeout 10000	0			0	
interactive short 2.4	timeout 20000 void simple	0			0	
interactive short 2.4	timeout 20000 void	0			0	
interactive short 2.4	timeout 20000	0			0	
interactive short 3.2	baseline	0			0	
interactive short 3.2	cardinality once void simple	0			0	
interactive short 3.2	cardinality once void	0			0	
interactive short 3.2	cardinality once	0			0	
interactive short 3.2	cardinality unlimited void simple	0			0	
interactive short 3.2	cardinality unlimited void	0			0	
interactive short 3.2	cardinality unlimited	0			0	
interactive short 3.2	overhead simple	0			0	
interactive short 3.2	overhead	0			0	
interactive short 3.2	timeout 100 void simple	0			0	
interactive short 3.2	timeout 100 void	0			0	
interactive short 3.2	timeout 100	0			0	
interactive short 3.2	timeout 1000 void simple	0			0	
interactive short 3.2	timeout 1000 void	0			0	
interactive short 3.2	timeout 1000	0			0	
interactive short 3.2	timeout 2000 void simple	0			0	
interactive short 3.2	timeout 2000 void	0			0	
interactive short 3.2	timeout 2000	0			0	
interactive short 3.2	timeout 5000 void simple	0			0	
interactive short 3.2	timeout 5000 void	0			0	
interactive short 3.2	timeout 5000	0			0	
interactive short 3.2	timeout 10000 void simple	0			0	
interactive short 3.2	timeout 10000 void	0			0	
interactive short 3.2	timeout 10000	0			0	
interactive short 3.2	timeout 20000 void simple	0			0	
interactive short 3.2	timeout 20000 void	0			0	
interactive short 3.2	timeout 20000	0			0	
interactive short 3.3	baseline	0			0	
interactive short 3.3	cardinality once void simple	0			0	
interactive short 3.3	cardinality once void	0			0	
interactive short 3.3	cardinality once	0			0	
interactive short 3.3	cardinality unlimited void simple	0			0	
interactive short 3.3	cardinality unlimited void	0			0	
interactive short 3.3	cardinality unlimited	0			0	
interactive short 3.3	overhead simple	0			0	
interactive short 3.3	overhead	0			0	
interactive short 3.3	timeout 100 void simple	0			0	
interactive short 3.3	timeout 100 void	0			0	
interactive short 3.3	timeout 100	0			0	
interactive short 3.3	timeout 1000 void simple	0			0	
interactive short 3.3	timeout 1000 void	0			0	
interactive short 3.3	timeout 1000	0			0	
interactive short 3.3	timeout 2000 void simple	0			0	
interactive short 3.3	timeout 2000 void	0			0	
interactive short 3.3	timeout 2000	0			0	
interactive short 3.3	timeout 5000 void simple	0			0	
interactive short 3.3	timeout 5000 void	0			0	
interactive short 3.3	timeout 5000	0			0	
interactive short 3.3	timeout 10000 void simple	324	16.565	16.565	17.633	8.283
interactive short 3.3	timeout 10000 void	347	16.799	16.799	17.112	8.399
interactive short 3.3	timeout 10000	346	16.677	16.677	17.128	8.338
interactive short 3.3	timeout 20000 void simple	549	26.898	26.898	28.007	13.449
interactive short 3.3	timeout 20000 void	680	26.743	26.743	27.321	13.371
interactive short 3.3	timeout 20000	663	26.728	26.728	28.073	13.364
interactive short 3.4	baseline	0			0	
interactive short 3.4	cardinality once void simple	0			0	
interactive short 3.4	cardinality once void	0			0	
interactive short 3.4	cardinality once	0			0	
interactive short 3.4	cardinality unlimited void simple	0			0	
interactive short 3.4	cardinality unlimited void	0			0	
interactive short 3.4	cardinality unlimited	3809	41.036	41.036	60.158	20.518
interactive short 3.4	overhead simple	0			0	
interactive short 3.4	overhead	0			0	
interactive short 3.4	timeout 100 void simple	0			0	
interactive short 3.4	timeout 100 void	0			0	
interactive short 3.4	timeout 100	0			0	
interactive short 3.4	timeout 1000 void simple	0			0	
interactive short 3.4	timeout 1000 void	0			0	
interactive short 3.4	timeout 1000	0			0	
interactive short 3.4	timeout 2000 void simple	0			0	
interactive short 3.4	timeout 2000 void	0			0	
interactive short 3.4	timeout 2000	0			0	
interactive short 3.4	timeout 5000 void simple	0			0	
interactive short 3.4	timeout 5000 void	0			0	
interactive short 3.4	timeout 5000	0			0	
interactive short 3.4	timeout 10000 void simple	680	16.775	16.775	17.421	8.387
interactive short 3.4	timeout 10000 void	419	16.683	16.683	16.993	8.341
interactive short 3.4	timeout 10000	414	16.69	16.69	17.043	8.345
interactive short 3.4	timeout 20000 void simple	357	26.766	26.766	27.803	13.383
interactive short 3.4	timeout 20000 void	513	26.89	26.89	27.718	13.445
interactive short 3.4	timeout 20000	428	26.709	26.709	27.276	13.354
interactive short 4.0	baseline	1	6.819	6.819	6.988	3.409
interactive short 4.0	cardinality once void simple	1	6.536	6.536	6.454	3.268
interactive short 4.0	cardinality once void	1	6.924	6.924	6.622	3.462
interactive short 4.0	cardinality once	1	6.822	6.822	7.067	3.411
interactive short 4.0	cardinality unlimited void simple	1	6.826	6.826	7.088	3.413
interactive short 4.0	cardinality unlimited void	1	6.775	6.775	6.789	3.388
interactive short 4.0	cardinality unlimited	1	6.754	6.754	7.232	3.377
interactive short 4.0	overhead simple	1	7.054	7.054	6.871	3.527
interactive short 4.0	overhead	1	6.718	6.718	6.82	3.359
interactive short 4.0	timeout 100 void simple	1	6.583	6.583	6.881	3.292
interactive short 4.0	timeout 100 void	1	6.812	6.812	6.342	3.406
interactive short 4.0	timeout 100	1	6.623	6.623	6.537	3.312
interactive short 4.0	timeout 1000 void simple	1	6.849	6.849	6.863	3.425
interactive short 4.0	timeout 1000 void	1	6.685	6.685	6.71	3.342
interactive short 4.0	timeout 1000	1	6.866	6.866	6.941	3.433
interactive short 4.0	timeout 2000 void simple	1	6.93	6.93	7.043	3.465
interactive short 4.0	timeout 2000 void	1	6.946	6.946	6.677	3.473
interactive short 4.0	timeout 2000	1	7.037	7.037	6.885	3.518
interactive short 4.0	timeout 5000 void simple	1	6.821	6.821	6.9	3.41
interactive short 4.0	timeout 5000 void	1	6.64	6.64	6.727	3.32
interactive short 4.0	timeout 5000	1	6.954	6.954	6.833	3.477
interactive short 4.0	timeout 10000 void simple	1	6.851	6.851	7.013	3.425
interactive short 4.0	timeout 10000 void	1	6.694	6.694	6.69	3.347
interactive short 4.0	timeout 10000	1	6.816	6.816	6.709	3.408
interactive short 4.0	timeout 20000 void simple	1	7.04	7.04	6.696	3.52
interactive short 4.0	timeout 20000 void	1	6.888	6.888	6.685	3.444
interactive short 4.0	timeout 20000	1	6.77	6.77	6.574	3.385
interactive short 4.1	baseline	1	6.852	6.852	7.191	3.426
interactive short 4.1	cardinality once void simple	1	7.031	7.031	6.813	3.515
interactive short 4.1	cardinality once void	1	6.968	6.968	6.666	3.484
interactive short 4.1	cardinality once	1	6.8	6.8	6.744	3.4
interactive short 4.1	cardinality unlimited void simple	1	6.865	6.865	7.348	3.433
interactive short 4.1	cardinality unlimited void	1	6.961	6.961	6.8	3.481
interactive short 4.1	cardinality unlimited	1	7.022	7.022	6.923	3.511
interactive short 4.1	overhead simple	1	6.855	6.855	6.953	3.428
interactive short 4.1	overhead	1	6.686	6.686	7.024	3.343
interactive short 4.1	timeout 100 void simple	1	7.075	7.075	7.167	3.538
interactive short 4.1	timeout 100 void	1	6.738	6.738	6.642	3.369
interactive short 4.1	timeout 100	1	6.623	6.623	6.837	3.312
interactive short 4.1	timeout 1000 void simple	1	6.97	6.97	7.168	3.485
interactive short 4.1	timeout 1000 void	1	6.763	6.763	7.39	3.381
interactive short 4.1	timeout 1000	1	6.835	6.835	6.987	3.417
interactive short 4.1	timeout 2000 void simple	1	7.229	7.229	7.188	3.615
interactive short 4.1	timeout 2000 void	1	6.839	6.839	6.675	3.42
interactive short 4.1	timeout 2000	1	6.692	6.692	6.985	3.346
interactive short 4.1	timeout 5000 void simple	1	6.997	6.997	7.022	3.498
interactive short 4.1	timeout 5000 void	1	7.186	7.186	6.864	3.593
interactive short 4.1	timeout 5000	1	6.91	6.91	6.96	3.455
interactive short 4.1	timeout 10000 void simple	1	7.09	7.09	6.716	3.545
interactive short 4.1	timeout 10000 void	1	6.796	6.796	6.48	3.398
interactive short 4.1	timeout 10000	1	6.891	6.891	6.586	3.446
interactive short 4.1	timeout 20000 void simple	1	6.743	6.743	6.553	3.372
interactive short 4.1	timeout 20000 void	1	6.874	6.874	6.902	3.437
interactive short 4.1	timeout 20000	1	6.939	6.939	7.008	3.47
interactive short 4.3	baseline	2	6.547	6.547	6.475	3.273
interactive short 4.3	cardinality once void simple	2	6.472	6.472	6.311	3.236
interactive short 4.3	cardinality once void	2	6.454	6.454	6.458	3.227
interactive short 4.3	cardinality once	2	6.488	6.488	6.78	3.244
interactive short 4.3	cardinality unlimited void simple	2	6.649	6.649	6.73	3.325
interactive short 4.3	cardinality unlimited void	2	6.753	6.753	6.235	3.377
interactive short 4.3	cardinality unlimited	2	6.527	6.527	6.564	3.264
interactive short 4.3	overhead simple	2	6.451	6.451	6.617	3.225
interactive short 4.3	overhead	2	6.187	6.187	6.097	3.094
interactive short 4.3	timeout 100 void simple	2	6.258	6.258	6.318	3.129
interactive short 4.3	timeout 100 void	2	6.222	6.222	6.154	3.111
interactive short 4.3	timeout 100	2	6.364	6.364	6.638	3.182
interactive short 4.3	timeout 1000 void simple	2	6.421	6.421	6.317	3.211
interactive short 4.3	timeout 1000 void	2	6.707	6.707	6.739	3.353
interactive short 4.3	timeout 1000	2	6.394	6.394	6.746	3.197
interactive short 4.3	timeout 2000 void simple	2	6.491	6.491	6.635	3.245
interactive short 4.3	timeout 2000 void	2	6.42	6.42	6.583	3.21
interactive short 4.3	timeout 2000	2	6.532	6.532	6.424	3.266
interactive short 4.3	timeout 5000 void simple	2	6.329	6.329	6.365	3.164
interactive short 4.3	timeout 5000 void	2	6.38	6.38	6.443	3.19
interactive short 4.3	timeout 5000	2	6.658	6.658	6.021	3.329
interactive short 4.3	timeout 10000 void simple	2	6.45	6.45	6.309	3.225
interactive short 4.3	timeout 10000 void	2	6.818	6.818	6.811	3.409
interactive short 4.3	timeout 10000	2	6.699	6.699	6.732	3.349
interactive short 4.3	timeout 20000 void simple	2	6.764	6.764	6.593	3.382
interactive short 4.3	timeout 20000 void	2	6.279	6.279	6.176	3.139
interactive short 4.3	timeout 20000	2	6.228	6.228	6.304	3.114
interactive short 4.4	baseline	1	6.668	6.668	6.51	3.334
interactive short 4.4	cardinality once void simple	1	6.738	6.738	6.603	3.369
interactive short 4.4	cardinality once void	1	7.141	7.141	6.682	3.571
interactive short 4.4	cardinality once	1	6.582	6.582	6.784	3.291
interactive short 4.4	cardinality unlimited void simple	1	7.005	7.005	7.047	3.502
interactive short 4.4	cardinality unlimited void	1	6.779	6.779	6.826	3.389
interactive short 4.4	cardinality unlimited	1	6.739	6.739	6.742	3.369
interactive short 4.4	overhead simple	1	6.776	6.776	6.648	3.388
interactive short 4.4	overhead	1	6.798	6.798	6.552	3.399
interactive short 4.4	timeout 100 void simple	1	6.464	6.464	6.613	3.232
interactive short 4.4	timeout 100 void	1	6.639	6.639	6.597	3.32
interactive short 4.4	timeout 100	1	6.839	6.839	7.068	3.42
interactive short 4.4	timeout 1000 void simple	1	6.749	6.749	6.607	3.374
interactive short 4.4	timeout 1000 void	1	7.086	7.086	7.03	3.543
interactive short 4.4	timeout 1000	1	6.703	6.703	6.546	3.352
interactive short 4.4	timeout 2000 void simple	1	6.862	6.862	6.545	3.431
interactive short 4.4	timeout 2000 void	1	6.837	6.837	6.734	3.418
interactive short 4.4	timeout 2000	1	6.695	6.695	6.713	3.348
interactive short 4.4	timeout 5000 void simple	1	6.755	6.755	6.757	3.377
interactive short 4.4	timeout 5000 void	1	6.858	6.858	6.643	3.429
interactive short 4.4	timeout 5000	1	6.786	6.786	6.837	3.393
interactive short 4.4	timeout 10000 void simple	1	6.761	6.761	6.778	3.381
interactive short 4.4	timeout 10000 void	1	7.27	7.27	6.569	3.635
interactive short 4.4	timeout 10000	1	6.553	6.553	6.409	3.276
interactive short 4.4	timeout 20000 void simple	1	7.135	7.135	6.767	3.567
interactive short 4.4	timeout 20000 void	1	6.915	6.915	7.216	3.458
interactive short 4.4	timeout 20000	1	6.699	6.699	6.733	3.349
interactive short 5.2	baseline	103	10.633	10.633	9.315	5.316
interactive short 5.2	cardinality once void simple	103	9.551	9.551	10.434	4.776
interactive short 5.2	cardinality once void	103	9.836	9.836	10.551	4.918
interactive short 5.2	cardinality once	103	9.618	9.618	9.79	4.809
interactive short 5.2	cardinality unlimited void simple	103	10.113	10.113	10.369	5.056
